"Statistic","Year","County","UNIT","VALUE"
"New House Registrations","1992","Kilkenny","Number","174"
"New House Registrations","1992","Laois","Number","81"
"New House Registrations","1992","Longford","Number","16"
"New House Registrations","1992","Louth","Number","190"
"New House Registrations","1992","Meath","Number","256"
"New House Registrations","1992","Offaly","Number","84"
"New House Registrations","1992","Westmeath","Number","133"
"New House Registrations","1992","Wexford","Number","255"
"New House Registrations","1992","Wicklow","Number","315"
"New House Registrations","1992","Clare","Number","361"
"New House Registrations","1992","Cork","Number","1303"
"New House Registrations","1992","Kerry","Number","346"
"New House Registrations","1992","Limerick","Number","496"
"New House Registrations","1992","Tipperary","Number","169"
"New House Registrations","1992","Waterford","Number","368"
"New House Registrations","1992","Galway","Number","615"
"New House Registrations","1992","Leitrim","Number","12"
"New House Registrations","1992","Mayo","Number","215"
"New House Registrations","1992","Roscommon","Number","44"
"New House Registrations","1992","Sligo","Number","113"
"New House Registrations","1992","Cavan","Number","80"
"New House Registrations","1992","Donegal","Number","156"
"New House Registrations","1992","Monaghan","Number","47"
"New House Registrations","1993","All Counties","Number","13666"
"New House Registrations","1993","Carlow","Number","127"
"New House Registrations","1993","Dublin","Number","6145"
"New House Registrations","1993","Kildare","Number","853"
"New House Registrations","1993","Kilkenny","Number","189"
"New House Registrations","1993","Laois","Number","150"
"New House Registrations","1993","Longford","Number","33"
"New House Registrations","1993","Louth","Number","350"
"New House Registrations","1993","Meath","Number","383"
"New House Registrations","1993","Offaly","Number","62"
"New House Registrations","1993","Westmeath","Number","168"
"New House Registrations","1993","Wexford","Number","210"
"New House Registrations","1993","Wicklow","Number","370"
"New House Registrations","1993","Clare","Number","240"
"New House Registrations","1993","Cork","Number","1443"
"New House Registrations","1993","Kerry","Number","403"
"New House Registrations","1993","Limerick","Number","693"
"New House Registrations","1993","Tipperary","Number","241"
"New House Registrations","1993","Waterford","Number","341"
"New House Registrations","1993","Galway","Number","487"
"New House Registrations","1993","Leitrim","Number","16"
"New House Registrations","1993","Mayo","Number","188"
"New House Registrations","1993","Roscommon","Number","92"
"New House Registrations","1993","Sligo","Number","134"
"New House Registrations","1993","Cavan","Number","63"
"New House Registrations","1993","Donegal","Number","232"
"New House Registrations","1993","Monaghan","Number","53"
"New House Registrations","1994","All Counties","Number","17822"
"New House Registrations","1994","Carlow","Number","110"
"New House Registrations","1994","Dublin","Number","7830"
"New House Registrations","1994","Kildare","Number","1385"
"New House Registrations","1994","Kilkenny","Number","219"
"New House Registrations","1994","Laois","Number","168"
"New House Registrations","1994","Longford","Number","14"
"New House Registrations","1994","Louth","Number","527"
"New House Registrations","1994","Meath","Number","536"
"New House Registrations","1994","Offaly","Number","171"
"New House Registrations","1994","Westmeath","Number","154"
"New House Registrations","1994","Wexford","Number","267"
"New House Registrations","1994","Wicklow","Number","329"
"New House Registrations","1994","Clare","Number","366"
"New House Registrations","1994","Cork","Number","1966"
"New House Registrations","1994","Kerry","Number","361"
"New House Registrations","1994","Limerick","Number","832"
"New House Registrations","1994","Tipperary","Number","306"
"New House Registrations","1994","Waterford","Number","560"
"New House Registrations","1994","Galway","Number","623"
"New House Registrations","1994","Leitrim","Number","5"
"New House Registrations","1994","Mayo","Number","397"
"New House Registrations","1994","Roscommon","Number","54"
"New House Registrations","1994","Sligo","Number","245"
"New House Registrations","1994","Cavan","Number","106"
"New House Registrations","1994","Donegal","Number","241"
"New House Registrations","1994","Monaghan","Number","50"
"New House Registrations","1995","All Counties","Number","19727"
"New House Registrations","1995","Carlow","Number","169"
"New House Registrations","1995","Dublin","Number","8107"
"New House Registrations","1995","Kildare","Number","1300"
"New House Registrations","1995","Kilkenny","Number","304"
"New House Registrations","1995","Laois","Number","252"
"New House Registrations","1995","Longford","Number","12"
"New House Registrations","1995","Louth","Number","586"
"New House Registrations","1995","Meath","Number","761"
"New House Registrations","1995","Offaly","Number","116"
"New House Registrations","1995","Westmeath","Number","328"
"New House Registrations","1995","Wexford","Number","433"
"New House Registrations","1995","Wicklow","Number","687"
"New House Registrations","1995","Clare","Number","455"
"New House Registrations","1995","Cork","Number","1895"
"New House Registrations","1995","Kerry","Number","411"
"New House Registrations","1995","Limerick","Number","767"
"New House Registrations","1995","Tipperary","Number","458"
"New House Registrations","1995","Waterford","Number","589"
"New House Registrations","1995","Galway","Number","929"
"New House Registrations","1995","Leitrim","Number","12"
"New House Registrations","1995","Mayo","Number","363"
"New House Registrations","1995","Roscommon","Number","58"
"New House Registrations","1995","Sligo","Number","235"
"New House Registrations","1995","Cavan","Number","76"
"New House Registrations","1995","Donegal","Number","344"
"New House Registrations","1995","Monaghan","Number","80"
"New House Registrations","1996","All Counties","Number","23769"
"New House Registrations","1996","Carlow","Number","325"
"New House Registrations","1996","Dublin","Number","8591"
"New House Registrations","1996","Kildare","Number","1510"
"New House Registrations","1996","Kilkenny","Number","387"
"New House Registrations","1996","Laois","Number","193"
"New House Registrations","1996","Longford","Number","8"
"New House Registrations","1996","Louth","Number","721"
"New House Registrations","1996","Meath","Number","872"
"New House Registrations","1996","Offaly","Number","167"
"New House Registrations","1996","Westmeath","Number","389"
"New House Registrations","1996","Wexford","Number","532"
"New House Registrations","1996","Wicklow","Number","678"
"New House Registrations","1996","Clare","Number","722"
"New House Registrations","1996","Cork","Number","2712"
"New House Registrations","1996","Kerry","Number","575"
"New House Registrations","1996","Limerick","Number","1236"
"New House Registrations","1996","Tipperary","Number","480"
"New House Registrations","1996","Waterford","Number","717"
"New House Registrations","1996","Galway","Number","1444"
"New House Registrations","1996","Leitrim","Number","30"
"New House Registrations","1996","Mayo","Number","448"
"New House Registrations","1996","Roscommon","Number","100"
"New House Registrations","1996","Sligo","Number","268"
"New House Registrations","1996","Cavan","Number","183"
"New House Registrations","1996","Donegal","Number","389"
"New House Registrations","1996","Monaghan","Number","92"
"New House Registrations","1997","All Counties","Number","27080"
"New House Registrations","1997","Carlow","Number","508"
"New House Registrations","1997","Dublin","Number","8040"
"New House Registrations","1997","Kildare","Number","2052"
"New House Registrations","1997","Kilkenny","Number","450"
"New House Registrations","1997","Laois","Number","233"
"New House Registrations","1997","Longford","Number","33"
"New House Registrations","1997","Louth","Number","841"
"New House Registrations","1997","Meath","Number","1283"
"New House Registrations","1997","Offaly","Number","132"
"New House Registrations","1997","Westmeath","Number","584"
"New House Registrations","1997","Wexford","Number","916"
"New House Registrations","1997","Wicklow","Number","1099"
"New House Registrations","1997","Clare","Number","831"
"New House Registrations","1997","Cork","Number","3037"
"New House Registrations","1997","Kerry","Number","837"
"New House Registrations","1997","Limerick","Number","1543"
"New House Registrations","1997","Tipperary","Number","664"
"New House Registrations","1997","Waterford","Number","840"
"New House Registrations","1997","Galway","Number","1281"
"New House Registrations","1997","Leitrim","Number","38"
"New House Registrations","1997","Mayo","Number","576"
"New House Registrations","1997","Roscommon","Number","86"
"New House Registrations","1997","Sligo","Number","547"
"New House Registrations","1997","Cavan","Number","152"
"New House Registrations","1997","Donegal","Number","425"
"New House Registrations","1997","Monaghan","Number","52"
"New House Registrations","1998","All Counties","Number","29067"
"New House Registrations","1998","Carlow","Number","495"
"New House Registrations","1998","Dublin","Number","8356"
"New House Registrations","1998","Kildare","Number","2361"
"New House Registrations","1998","Kilkenny","Number","511"
"New House Registrations","1998","Laois","Number","293"
"New House Registrations","1998","Longford","Number","31"
"New House Registrations","1998","Louth","Number","1087"
"New House Registrations","1998","Meath","Number","1139"
"New House Registrations","1998","Offaly","Number","289"
"New House Registrations","1998","Westmeath","Number","725"
"New House Registrations","1998","Wexford","Number","1357"
"New House Registrations","1998","Wicklow","Number","784"
"New House Registrations","1998","Clare","Number","801"
"New House Registrations","1998","Cork","Number","3266"
"New House Registrations","1998","Kerry","Number","684"
"New House Registrations","1998","Limerick","Number","1439"
"New House Registrations","1998","Tipperary","Number","730"
"New House Registrations","1998","Waterford","Number","893"
"New House Registrations","1998","Galway","Number","1381"
"New House Registrations","1998","Leitrim","Number","35"
"New House Registrations","1998","Mayo","Number","763"
"New House Registrations","1998","Roscommon","Number","152"
"New House Registrations","1998","Sligo","Number","472"
"New House Registrations","1998","Cavan","Number","176"
"New House Registrations","1998","Donegal","Number","736"
"New House Registrations","1998","Monaghan","Number","111"
"New House Registrations","1999","All Counties","Number","33852"
"New House Registrations","1999","Carlow","Number","529"
"New House Registrations","1999","Dublin","Number","8956"
"New House Registrations","1999","Kildare","Number","1972"
"New House Registrations","1999","Kilkenny","Number","512"
"New House Registrations","1999","Laois","Number","597"
"New House Registrations","1999","Longford","Number","42"
"New House Registrations","1999","Louth","Number","1020"
"New House Registrations","1999","Meath","Number","2350"
"New House Registrations","1999","Offaly","Number","431"
"New House Registrations","1999","Westmeath","Number","928"
"New House Registrations","1999","Wexford","Number","1640"
"New House Registrations","1999","Wicklow","Number","689"
"New House Registrations","1999","Clare","Number","1158"
"New House Registrations","1999","Cork","Number","4174"
"New House Registrations","1999","Kerry","Number","727"
"New House Registrations","1999","Limerick","Number","1543"
"New House Registrations","1999","Tipperary","Number","1024"
"New House Registrations","1999","Waterford","Number","919"
"New House Registrations","1999","Galway","Number","1721"
"New House Registrations","1999","Leitrim","Number","220"
"New House Registrations","1999","Mayo","Number","830"
"New House Registrations","1999","Roscommon","Number","183"
"New House Registrations","1999","Sligo","Number","391"
"New House Registrations","1999","Cavan","Number","229"
"New House Registrations","1999","Donegal","Number","1020"
"New House Registrations","1999","Monaghan","Number","47"
"New House Registrations","2000","All Counties","Number","34613"
"New House Registrations","2000","Carlow","Number","369"
"New House Registrations","2000","Dublin","Number","8122"
"New House Registrations","2000","Kildare","Number","2064"
"New House Registrations","2000","Kilkenny","Number","607"
"New House Registrations","2000","Laois","Number","809"
"New House Registrations","2000","Longford","Number","103"
"New House Registrations","2000","Louth","Number","1298"
"New House Registrations","2000","Meath","Number","2595"
"New House Registrations","2000","Offaly","Number","638"
"New House Registrations","2000","Westmeath","Number","976"
"New House Registrations","2000","Wexford","Number","1697"
"New House Registrations","2000","Wicklow","Number","814"
"New House Registrations","2000","Clare","Number","891"
"New House Registrations","2000","Cork","Number","4424"
"New House Registrations","2000","Kerry","Number","739"
"New House Registrations","2000","Limerick","Number","1381"
