"Statistic","Year","County","UNIT","VALUE"
"All Births","2000","Galway City","Number","903"
"All Births","2000","Leitrim","Number","295"
"All Births","2000","Mayo","Number","1438"
"All Births","2000","Roscommon","Number","500"
"All Births","2000","Sligo","Number","734"
"All Births","2000","Galway County","Number","1877"
"All Births","2000","Cavan","Number","714"
"All Births","2000","Donegal","Number","1772"
"All Births","2000","Monaghan","Number","627"
"All Births","2000","Outside the State","Number",""
"All Births","2001","State","Number","57854"
"All Births","2001","Dublin City","Number","7013"
"All Births","2001","Fingal","Number","3485"
"All Births","2001","Dun Laoghaire Rathdown","Number","2334"
"All Births","2001","South Dublin","Number","4219"
"All Births","2001","Wicklow","Number","1912"
"All Births","2001","Carlow","Number","731"
"All Births","2001","Kildare","Number","3050"
"All Births","2001","Kilkenny","Number","1115"
"All Births","2001","Laois","Number","851"
"All Births","2001","Longford","Number","476"
"All Births","2001","Louth","Number","1728"
"All Births","2001","Meath","Number","2235"
"All Births","2001","Offaly","Number","958"
"All Births","2001","Westmeath","Number","1170"
"All Births","2001","Wexford","Number","1769"
"All Births","2001","Waterford County","Number","804"
"All Births","2001","Waterford City","Number","780"
"All Births","2001","Clare","Number","1496"
"All Births","2001","Cork City","Number","1575"
"All Births","2001","Cork County","Number","4696"
"All Births","2001","Kerry","Number","1662"
"All Births","2001","Limerick City","Number","855"
"All Births","2001","Limerick County","Number","1562"
"All Births","2001","North Tipperary","Number","905"
"All Births","2001","South Tipperary","Number","1080"
"All Births","2001","Tipperary","Number",""
"All Births","2001","Galway City","Number","928"
"All Births","2001","Leitrim","Number","291"
"All Births","2001","Mayo","Number","1508"
"All Births","2001","Roscommon","Number","575"
"All Births","2001","Sligo","Number","777"
"All Births","2001","Galway County","Number","2037"
"All Births","2001","Cavan","Number","756"
"All Births","2001","Donegal","Number","1895"
"All Births","2001","Monaghan","Number","626"
"All Births","2001","Outside the State","Number",""
"All Births","2002","State","Number","60503"
"All Births","2002","Dublin City","Number","6976"
